,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
0,CoRoT-5 b,CoRoT-5,1,1,1,Transit,2009,CoRoT,1,Published Confirmed,0,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,4.0378962,1.9e-06,-1.9e-06,0.0,0.04947,0.00026,-0.00029,0.0,15.558,0.516,-0.527,0.0,1.388,0.046,-0.047,0.0,148.42,14.937,-7.628,0.0,0.467,0.047,-0.024,0.0,Mass,0.09,0.09,-0.04,0.0,,,,,1438.0,39.0,-39.0,0.0,85.83,0.99,-1.38,0.0,0,,,,,,,,,,,,,,,,,<a refstr=RAUER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..281R/abstract target=ref> Rauer et al. 2009 </a>,F9 V,6100.0,65.0,-65.0,0.0,1.19,0.04,-0.04,0.0,1.0,0.02,-0.02,0.0,-0.25,0.06,-0.06,0.0,[M/H],4.19,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163,882.472,25.62,-25.62,14.043,0.149,-0.149,12.871,0.024,-0.024,12.609,0.032,-0.032,12.546,0.026,-0.026,13.9021,0.000418,-0.000418,2014-05-14,2009-10,2014-05-14
1,CoRoT-6 b,CoRoT-6,1,1,1,Transit,2009,CoRoT,1,Published Confirmed,0,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,8.886593,4e-06,-4e-06,0.0,0.0855,0.0015,-0.0015,0.0,13.068,0.392,-0.392,0.0,1.166,0.035,-0.035,0.0,940.74,108.06,-108.06,0.0,2.96,0.34,-0.34,0.0,Mass,0.1,,,1.0,,,,,1017.0,19.0,-19.0,0.0,89.07,0.3,-0.3,0.0,0,4.08,0.02,-0.02,0.0,17.94,0.33,-0.33,0.0,0.1169,0.0009,-0.0009,0.0,,,,,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,F9 V,6090.0,70.0,-70.0,0.0,1.03,0.03,-0.03,0.0,1.05,0.05,-0.05,0.0,-0.2,0.1,-0.1,0.0,[Fe/H],4.43,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062,645.294,12.453,-11.997,13.961,0.069,-0.069,12.518,0.024,-0.024,12.228,0.022,-0.022,12.119,0.024,-0.024,13.7459,0.000496,-0.000496,2014-05-14,2010-03,2014-05-14
2,CoRoT-7 b,CoRoT-7,1,1,2,Transit,2009,CoRoT,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.85359163,1e-08,-1e-08,0.0,,,,,1.681,0.112,-0.112,0.0,0.15,0.01,-0.01,0.0,4.07661,1.01982,-1.01982,0.0,0.01283,0.00321,-0.00321,0.0,Mass,0.0,,,0.0,,,,,,,,,80.1,0.3,-0.3,0.0,0,,,,,4.26,0.21,-0.21,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5275.0,75.0,-75.0,0.0,0.83,0.04,-0.04,0.0,0.82,0.17,-0.17,0.0,0.05,,,0.0,[Fe/H],4.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.906,0.917,-0.906,11.728,0.027,-0.027,10.301,0.024,-0.024,9.88,0.022,-0.022,9.806,0.021,-0.021,11.5239,0.000462,-0.000462,2020-11-13,2017-03,2020-11-19
3,Kepler-24 c,Kepler-24,1,1,4,Transit,2011,Kepler,1,Published Confirmed,0,<a refstr=FORD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..113F/abstract target=ref> Ford et al. 2012 </a>,12.3335,,,0.0,0.106,,,0.0,2.8,,,0.0,0.25,,,0.0,508.5,,,1.0,1.6,,,1.0,Mass,,,,,,,,,,,,,,,,,1,3.71,,,0.0,,,,,,,,,,,,,<a refstr=FORD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..113F/abstract target=ref> Ford et al. 2012 </a>,,5800.0,200.0,-200.0,0.0,1.07,0.16,-0.23,0.0,1.03,0.11,-0.14,0.0,-0.24,0.4,-0.4,0.0,[M/H],4.34,0.3,-0.3,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m39.18s,290.4132621,+38d20m37.42s,38.3437283,1156.81,32.08,-32.08,15.04,0.08,-0.08,13.763,0.023,-0.023,13.445,0.03,-0.03,13.372,0.037,-0.037,14.9234,0.000356,-0.000356,2014-05-14,2012-05,2014-05-14
4,CoRoT-8 b,CoRoT-8,1,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,6.21229,3e-05,-3e-05,0.0,0.063,0.001,-0.001,0.0,6.39,0.22,-0.22,0.0,0.57,0.02,-0.02,0.0,69.92,9.53,-9.53,0.0,0.22,0.03,-0.03,0.0,Mass,0.0,,,0.0,,,,,,,,,88.4,0.1,-0.1,0.0,0,2.74,0.02,-0.02,0.0,17.6,0.4,-0.4,0.0,0.075,0.001,-0.001,0.0,,,,,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,K1 V,5080.0,80.0,-80.0,0.0,0.77,0.02,-0.02,0.0,0.88,0.04,-0.04,0.0,0.3,0.1,-0.1,0.0,[M/H],4.58,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,322.037,2.714,-2.714,14.792,0.034,-0.034,12.154,0.023,-0.023,11.641,0.024,-0.024,11.463,0.021,-0.021,14.2195,0.000262,-0.000262,2014-05-14,2010-09,2014-05-14
5,CoRoT-9 b,CoRoT-9,1,2,1,Transit,2009,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,95.272656,6.8e-05,-6.8e-05,0.0,0.4021,0.0054,-0.0054,0.0,11.949,0.841,-0.706,0.0,1.066,0.075,-0.063,0.0,266.9772,15.8915,-15.8915,0.0,0.84,0.05,-0.05,0.0,Mass,0.133,0.042,-0.037,0.0,,,,,420.0,16.0,-16.0,0.0,89.9,0.066,-0.084,0.0,0,8.268,0.0504,-0.0432,0.0,89.9,5.9,-5.9,0.0,0.11402,0.00095,-0.00085,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,,5625.0,80.0,-80.0,0.0,0.96,0.06,-0.06,0.0,0.96,0.04,-0.04,0.0,-0.01,0.06,-0.06,0.0,[Fe/H],4.54,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783,412.98,4.725,-4.622,13.637,0.137,-0.137,12.175,0.028,-0.028,11.813,0.021,-0.021,11.688,0.023,-0.023,13.5008,0.00032,-0.00032,2017-12-12,2017-07,2017-12-14
6,GJ 1214 b,GJ 1214,1,1,1,Transit,2009,MEarth Project,1,Published Confirmed,0,<a refstr=HARPS_OSLASH_E_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...549A..10H/abstract target=ref>Harps&oslash;e et al. 2013</a>,1.58040456,1.6e-07,-1.6e-07,0.0,0.01411,0.00032,-0.00032,0.0,2.847,0.202,-0.202,0.0,0.254,0.018,-0.018,0.0,6.26125,0.85814,-0.85814,0.0,0.0197,0.0027,-0.0027,0.0,Mass,,,,,,,,,,,,,88.17,0.54,-0.54,0.0,0,,,,,14.0,0.8,-0.7,0.0,,,,,,,,,<a refstr=HARPS_OSLASH_E_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...549A..10H/abstract target=ref>Harps&oslash;e et al. 2013</a>,,3026.0,150.0,-150.0,0.0,0.22,0.01,-0.01,0.0,0.15,0.01,-0.01,0.0,0.39,0.15,-0.15,0.0,[Fe/H],4.94,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606795,14.6427,0.0372,-0.0372,15.1,0.2,-0.2,9.75,0.024,-0.024,9.094,0.024,-0.024,8.782,0.02,-0.02,13.0089,0.001061,-0.001061,2015-12-02,2013-01,2015-12-03
7,GJ 436 b,GJ 436,1,1,1,Radial Velocity,2004,W. M. Keck Observatory,1,Published Confirmed,0,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64..323M/abstract target=ref>Maciejewski et al. 2014</a>,2.64388312,5.7e-07,-5.7e-07,0.0,0.0291,0.0015,-0.0015,0.0,4.17,0.168,-0.168,0.0,0.372,0.015,-0.015,0.0,22.1,2.3,-2.3,0.0,0.07,0.007,-0.007,0.0,Mass,0.13827,0.00018,-0.00018,0.0,,,,,,,,,86.44,0.17,-0.16,0.0,0,,,,,13.73,0.46,-0.43,0.0,0.0822,0.001,-0.0011,0.0,,,,,<a refstr=MACIEJEWSKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AcA....64..323M/abstract target=ref>Maciejewski et al. 2014</a>,,,,,,0.46,0.02,-0.02,0.0,0.47,0.07,-0.07,0.0,,,,,,4.79,0.05,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,9.75321,0.00898,-0.00896,10.67,0.1,-0.1,6.9,0.024,-0.024,6.319,0.023,-0.023,6.073,0.016,-0.016,9.57148,0.000934,-0.000934,2015-02-05,2014-12,2015-02-05
8,HAT-P-12 b,HAT-P-12,1,1,1,Transit,2009,HATNet,1,Published Confirmed,0,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,3.2130598,2.1e-06,-2.1e-06,0.0,0.0384,0.0003,-0.0003,0.0,10.749,0.325,-0.235,0.0,0.959,0.029,-0.021,0.0,67.059,3.814,-3.814,0.0,0.211,0.012,-0.012,0.0,Mass,0.0,,,0.0,,,,,963.0,16.0,-16.0,0.0,89.0,0.4,-0.4,0.0,0,2.3376,0.0144,-0.0144,0.0,11.77,0.15,-0.21,0.0,0.1406,0.0013,-0.0013,0.0,,,,,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,K4,4650.0,60.0,-60.0,0.0,0.7,0.02,-0.01,0.0,0.73,0.02,-0.02,0.0,-0.29,0.05,-0.05,0.0,[Fe/H],4.61,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h57m33.27s,209.3886452,+43d29m35.92s,43.49331,142.751,0.453,-0.45,12.665,0.057,-0.057,10.794,0.023,-0.023,10.236,0.022,-0.022,10.108,0.016,-0.016,12.4197,0.000238,-0.000238,2014-05-14,2009-11,2014-05-14
9,HAT-P-13 b,HAT-P-13,1,1,2,Transit,2009,HATNet,1,Published Confirmed,0,<a refstr=WINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W/abstract target=ref> Winn et al. 2010 </a>,2.91625,1.5e-05,-1.5e-05,0.0,,,,,14.258,0.729,-0.729,0.0,1.272,0.065,-0.065,0.0,270.462,12.077,-12.077,0.0,0.851,0.038,-0.038,0.0,Mass,0.0133,0.0041,-0.0041,0.0,,,,,,,,,83.4,0.68,-0.68,0.0,1,,,,,5.8928,0.2611,-0.2398,0.0,0.08389,0.00081,-0.00081,0.0,,,,,<a refstr=WINN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W/abstract target=ref> Winn et al. 2010 </a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,246.81,2.228,-2.188,10.421,0.008,-0.008,9.328,0.018,-0.018,9.058,0.017,-0.017,8.975,0.017,-0.017,10.4168,0.000254,-0.000254,2014-10-15,2010-07,2014-10-15
10,HAT-P-14 b,HAT-P-14,1,2,1,Transit,2010,HATNet,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.62767,5e-06,-5e-06,0.0,,,,,15.917,1.345,-1.345,0.0,1.42,0.12,-0.12,0.0,1093.3352,200.2329,-200.2329,0.0,3.44,0.63,-0.63,0.0,Mass,0.11,0.01,-0.01,0.0,,,,,,,,,83.5,0.3,-0.3,0.0,0,,,,,8.9,0.36,-0.36,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6600.0,90.0,-90.0,0.0,1.82,0.15,-0.15,0.0,2.65,0.73,-0.73,0.0,0.11,,,0.0,[Fe/H],4.25,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h20m27.88s,260.1161719,+38d14m31.81s,38.2421682,222.663,1.257,-1.244,9.988,0.004,-0.004,9.094,0.021,-0.021,8.927,0.02,-0.02,8.851,0.019,-0.019,9.87283,0.000338,-0.000338,2018-04-25,2017-03,2018-04-26
11,HAT-P-15 b,HAT-P-15,1,1,1,Transit,2010,HATNet,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,10.8635,2.7e-05,-2.7e-05,0.0,,,,,11.882,0.785,-0.785,0.0,1.06,0.07,-0.07,0.0,616.5902,95.349,-95.349,0.0,1.94,0.3,-0.3,0.0,Mass,0.19,0.02,-0.02,0.0,,,,,,,,,89.1,0.2,-0.2,0.0,0,,,,,19.25,0.77,-0.77,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5568.0,90.0,-90.0,0.0,1.07,0.07,-0.07,0.0,1.0,0.23,-0.23,0.0,0.22,,,0.0,[Fe/H],4.38,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h24m59.55s,66.248142,+39d27m38.17s,39.460602,192.516,2.053,-2.01,12.41,0.036,-0.036,10.194,0.023,-0.023,9.752,0.029,-0.029,9.641,0.019,-0.019,11.7232,0.000278,-0.000278,2018-04-25,2017-03,2018-04-26
12,HAT-P-16 b,HAT-P-16,1,3,1,Transit,2010,HATNet,1,Published Confirmed,0,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,2.77596,3e-06,-3e-06,0.0,0.0413,0.0004,-0.0004,0.0,14.448,0.74,-0.74,0.0,1.289,0.066,-0.066,0.0,1332.605,29.875,-29.875,0.0,4.193,0.094,-0.094,0.0,Mass,0.036,0.004,-0.004,0.0,,,,,1626.0,40.0,-40.0,0.0,86.6,0.7,-0.7,0.0,0,3.0624,0.0312,-0.0312,0.0,7.17,0.28,-0.28,0.0,0.1071,0.0014,-0.0014,0.0,,,,,<a refstr=BUCHHAVE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1118B/abstract target=ref> Buchhave et al. 2010 </a>,F8,6158.0,80.0,-80.0,0.0,1.24,0.05,-0.05,0.0,1.22,0.04,-0.04,0.0,0.17,0.08,-0.08,0.0,[Fe/H],4.34,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h38m17.53s,9.5730343,+42d27m47.15s,42.4630961,226.637,4.471,-4.305,10.911,0.008,-0.008,9.85,0.022,-0.022,9.623,0.022,-0.022,9.553001,0.02,-0.02,10.7568,0.000256,-0.000256,2014-05-14,2010-09,2014-05-14
13,HAT-P-17 b,HAT-P-17,1,1,2,Transit,2010,HATNet,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,10.33852,9e-06,-9e-06,0.0,,,,,11.769,0.448,-0.448,0.0,1.05,0.04,-0.04,0.0,184.3414,19.0698,-19.0698,0.0,0.58,0.06,-0.06,0.0,Mass,0.35,0.01,-0.01,0.0,,,,,,,,,89.2,0.15,-0.15,0.0,0,,,,,22.72,0.68,-0.68,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5246.0,80.0,-80.0,0.0,0.87,0.04,-0.04,0.0,0.99,0.15,-0.15,0.0,0.0,,,0.0,[Fe/H],4.53,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.3831,0.4851,-0.4802,10.375,0.005,-0.005,9.017,0.022,-0.022,8.619,0.029,-0.029,8.544,0.025,-0.025,10.2743,0.000306,-0.000306,2018-04-25,2017-03,2018-04-26
14,Kepler-123 b,Kepler-123,1,1,2,Transit,2014,Kepler,1,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,17.232366,5.6e-05,-5.6e-05,0.0,0.135,,,0.0,2.94,0.57,-0.57,0.0,0.262,0.051,-0.051,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.566,0.066,-0.066,0.0,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6089.0,121.0,-121.0,0.0,1.26,0.24,-0.24,0.0,,,,,,,,,,4.28,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h47m59.66s,296.9985853,+42d46m55.07s,42.7819633,1021.66,22.53,-21.6,14.129,0.069,-0.069,12.982,0.023,-0.023,12.725,0.024,-0.024,12.655,0.025,-0.025,14.0212,0.000268,-0.000268,2014-05-14,2014-03,2014-05-14
15,Kepler-769 b,Kepler-769,1,1,2,Transit,2016,Kepler,1,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,7.42608998,1.952e-05,-1.952e-05,0.0,,,,,2.92,1.3,-0.46,0.0,0.261,0.116,-0.041,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.7017,0.0774,-0.0774,0.0,,,,,0.02132,0.00243,-0.00112,0.0,,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6186.0,127.24,-184.13,0.0,1.28,0.55,-0.19,0.0,1.19,0.17,-0.11,0.0,0.06,0.131,-0.14,0.0,[Fe/H],4.3,0.11,-0.25,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m51.14s,292.7130925,+38d21m29.41s,38.3581685,1169.57,33.3,-31.54,14.984,0.046,-0.046,13.684,0.025,-0.025,13.394,0.024,-0.024,13.392,0.04,-0.04,14.7604,0.000296,-0.000296,2016-05-06,2016-05,2016-05-10
16,HAT-P-18 b,HAT-P-18,1,1,1,Transit,2010,HATNet,1,Published Confirmed,0,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,5.508023,6e-06,-6e-06,0.0,0.0559,0.0007,-0.0007,0.0,11.153,0.583,-0.583,0.0,0.995,0.052,-0.052,0.0,62.61,4.132,-4.132,0.0,0.197,0.013,-0.013,0.0,Mass,0.084,0.048,-0.048,0.0,,,,,852.0,28.0,-28.0,0.0,88.8,0.3,-0.3,0.0,0,2.7144,0.0216,-0.0216,0.0,16.04,0.75,-0.75,0.0,0.1365,0.0015,-0.0015,0.0,,,,,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,K2,4803.0,80.0,-80.0,0.0,0.75,0.04,-0.04,0.0,0.77,0.03,-0.03,0.0,0.1,0.08,-0.08,0.0,[Fe/H],4.57,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h05m23.13s,256.346376,+33d00m44.37s,33.0123251,161.4,0.61,-0.605,12.597,0.069,-0.069,10.822,0.02,-0.02,10.34,0.019,-0.019,10.234,0.017,-0.017,12.3682,0.000283,-0.000283,2014-05-14,2011-01,2014-05-14
17,HAT-P-19 b,HAT-P-19,1,1,1,Transit,2010,HATNet,1,Published Confirmed,0,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,4.008778,6e-06,-6e-06,0.0,0.0466,0.0008,-0.0008,0.0,12.689,0.807,-0.807,0.0,1.132,0.072,-0.072,0.0,92.802,5.721,-5.721,0.0,0.292,0.018,-0.018,0.0,Mass,0.067,0.042,-0.042,0.0,,,,,1010.0,42.0,-42.0,0.0,88.2,0.4,-0.4,0.0,0,2.8368,0.0336,-0.0336,0.0,12.24,0.67,-0.67,0.0,0.1418,0.002,-0.002,0.0,,,,,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>,K1,4990.0,130.0,-130.0,0.0,0.82,0.05,-0.05,0.0,0.84,0.04,-0.04,0.0,0.23,0.08,-0.08,0.0,[Fe/H],4.54,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h38m03.98s,9.5165832,+34d42m41.05s,34.7114025,202.078,1.471,-1.451,12.826,0.057,-0.057,11.095,0.02,-0.02,10.644,0.022,-0.022,10.546,0.019,-0.019,12.5567,0.000238,-0.000238,2014-05-14,2011-01,2014-05-14
18,HAT-P-1 b,HAT-P-1,1,2,1,Transit,2006,HATNet,1,Published Confirmed,0,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,4.46529976,5.5e-07,-5.5e-07,0.0,0.05561,0.00082,-0.00083,0.0,14.785,0.213,-0.213,0.0,1.319,0.019,-0.019,0.0,166.86075,6.03877,-6.03877,0.0,0.525,0.019,-0.019,0.0,Mass,,,,,,,,,1322.0,14.0,-15.0,0.0,85.634,0.056,-0.056,0.0,0,2.85,0.01176,-0.01272,0.0,9.853,0.071,-0.071,0.0,0.11802,0.00018,-0.00018,0.0,,,,,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,,5980.0,49.0,-49.0,0.0,1.17,0.03,-0.03,0.0,1.15,0.05,-0.05,0.0,0.13,0.008,-0.008,0.0,[Fe/H],4.36,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m46.89s,344.4453632,+38d40m29.71s,38.674919,158.979,0.977,-0.965,9.827,0.194,-0.194,9.156,0.026,-0.026,8.923,0.03,-0.03,8.858,0.018,-0.018,10.1786,0.000384,-0.000384,2015-09-08,2014-01,2015-09-10
